523,1467793379
571,1467793681
557,1467793922
604,1467794161
638,1467794401
579,1467794641
599,1467794882
652,1467795126
681,1467795361
708,1467795601
627,1467795841
649,1467796082
618,1467796321
570,1467796561
559,1467796801
504,1467797042
460,1467797281
467,1467797521
445,1467797761
395,1467812641
387,1467812882
387,1467812943
440,1467813122
408,1467813362
432,1467813602
451,1467813841
475,1467814082
464,1467814322
464,1467814562
453,1467814801
524,1467815042
532,1467815281
449,1467815522
451,1467815762
441,1467816002
456,1467816245
464,1467816446
464,1467816482
440,1467816709
487,1467816984
474,1467817201
474,1467817340
520,1467817446
503,1467817681
480,1467817922
493,1467818161
524,1467818401
547,1467818641
533,1467818881
618,1467819122
638,1467819361
662,1467819601
607,1467819841
639,1467820082
713,1467820321
740,1467820561
758,1467820802
709,1467821041
619,1467821281
541,1467821521
581,1467821762
471,1467822001
488,1467822241
419,1467822481
394,1467822722
391,1467822961
430,1467823201
317,1467830642
330,1467830881
358,1467831122
296,1467831361
385,1467831601
385,1467831842
384,1467832081
428,1467832322
433,1467832561
410,1467832801
372,1467833042
329,1467833281
334,1467833522
320,1467833761
298,1467834001
274,1467834242
266,1467834481
269,1467834721
281,1467834962
262,1467835201
273,1467835442
267,1467835681
295,1467835922
306,1467836093
306,1467836161
262,1467836401
262,1467836643
254,1467836881
212,1467837122
201,1467837361
226,1467837601
189,1467837842
166,1467838081
172,1467838321
164,1467838562
169,1467838801
154,1467839042
166,1467839281
152,1467839521
162,1467839762
162,1467840001
133,1467840241
127,1467840482
87,1467840721
83,1467840961
0,1467848883
0,1467849121
0,1467849361
0,1467849603
0,1467849841
0,1467850081
13,1467859442
13,1467859681
26,1467859921
26,1467860162
26,1467860401
26,1467860641
29,1467860882
469,1467876406
455,1467876481
416,1467876722
431,1467876966
448,1467877201
469,1467877441
426,1467877682
408,1467877921
377,1467878161
378,1467878401
336,1467878641
304,1467878882
293,1467879121
326,1467879361
355,1467879601
338,1467879842
299,1467880081
299,1467880321
366,1467880561
392,1467880801
396,1467881052
391,1467881281
397,1467881522
416,1467881761
394,1467882001
381,1467882241
353,1467882481
360,1467882722
354,1467882961
322,1467883201
355,1467883441
343,1467883687
385,1467883921
362,1467884161
342,1467884402
